City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Port Alfred,ZA,-33.59,26.89,58.82,81,1,8.63,clear sky
83,Pangai,TO,-19.8,-174.35,77.0,88,20,11.41,few clouds
84,North Canton,US,40.88,-81.4,86.0,58,75,4.7,broken clouds
85,West Wendover,US,40.74,-114.07,84.2,18,1,8.05,haze
86,Avera,US,33.19,-82.53,82.99,100,90,16.11,heavy intensity rain
87,Codrington,AU,-38.27,141.97,45.36,83,71,10.29,light rain
88,Torbay,CA,47.67,-52.73,70.0,46,20,10.29,few clouds
89,Phan Thiet,VN,10.93,108.1,78.15,87,94,6.08,overcast clouds
90,Chuy,UY,-33.7,-53.46,62.58,58,0,10.47,clear sky
91,Arman,RU,59.7,150.17,39.51,72,0,9.86,clear sky
92,Port-Cartier,CA,50.03,-66.87,62.6,55,75,8.05,broken clouds
93,Severo-Kurilsk,RU,50.68,156.12,51.53,72,94,3.94,overcast clouds
94,Saint George,US,37.1,-113.58,93.0,31,1,3.36,clear sky
95,Miyako,JP,39.64,141.95,71.1,89,93,3.44,overcast clouds
96,Lompoc,US,34.64,-120.46,75.2,73,1,5.82,clear sky
97,Butaritari,KI,3.07,172.79,82.96,67,71,9.64,broken clouds
98,Pisco,PE,-13.7,-76.22,64.4,72,90,9.17,overcast clouds
99,Mahebourg,MU,-20.41,57.7,71.6,73,20,17.22,few clouds
100,Jamestown,US,42.1,-79.24,77.0,83,75,3.36,broken clouds
101,Xai-Xai,MZ,-25.05,33.64,66.34,68,0,11.07,clear sky
102,Tulum,MX,20.22,-87.47,86.0,79,90,3.36,overcast clouds
103,Mana,GF,5.66,-53.78,85.57,68,4,10.51,light rain
104,Vardo,NO,70.37,31.11,57.2,87,92,14.99,overcast clouds
105,Rio Grande,BR,-32.03,-52.1,68.0,60,0,18.34,clear sky
106,Delta,NG,5.5,6.0,76.78,79,100,4.94,overcast clouds
107,Palmer,US,42.16,-72.33,91.0,43,20,11.41,few clouds
108,Kysyl-Syr,RU,63.9,122.76,39.87,80,0,5.7,clear sky
109,Daru,PG,-9.08,143.21,75.83,76,68,13.58,broken clouds
110,Bilma,NE,18.69,12.92,95.4,33,57,12.33,light rain
111,Luderitz,NA,-26.65,15.16,59.85,70,0,14.54,clear sky
112,Sakakah,SA,29.97,40.21,95.0,15,0,11.41,clear sky
113,Zinder,NE,13.81,8.99,90.0,42,93,10.33,overcast clouds
114,Faya,SA,18.39,42.45,73.4,88,84,6.93,broken clouds
115,Kachiry,KZ,53.07,76.1,56.84,79,48,4.45,scattered clouds
116,Shestakovo,RU,56.49,103.96,55.44,90,99,2.57,overcast clouds
117,Husavik,IS,66.04,-17.34,51.8,71,97,6.93,overcast clouds
118,Vostok,RU,46.49,135.88,53.15,89,100,3.31,overcast clouds
119,Recea,RO,47.63,23.52,72.0,83,20,9.17,few clouds
120,Bac Lieu,VN,9.29,105.72,80.42,84,95,6.78,overcast clouds
121,Te Anau,NZ,-45.42,167.72,39.18,89,94,0.47,overcast clouds
122,Bathsheba,BB,13.22,-59.52,86.0,70,40,6.93,shower rain
123,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,50,75,11.41,broken clouds
124,Deputatskiy,RU,69.3,139.9,30.63,99,100,3.0,overcast clouds
125,Carnarvon,AU,-24.87,113.63,64.4,88,54,17.22,broken clouds
126,Ixtapa,MX,20.7,-105.2,88.0,70,5,4.7,clear sky
127,Conde,BR,-7.26,-34.91,82.4,61,20,17.22,few clouds
128,Srednekolymsk,RU,67.45,153.68,34.36,89,98,7.52,overcast clouds
129,Marfino,RU,55.7,37.38,68.0,63,90,6.71,overcast clouds
130,Airai,TL,-8.93,125.41,57.07,36,65,4.07,broken clouds
131,Castro,BR,-24.79,-50.01,58.1,68,27,10.38,scattered clouds
132,Arraial Do Cabo,BR,-22.97,-42.03,73.4,64,75,4.7,broken clouds
133,Kangaatsiaq,GL,68.31,-53.46,46.78,76,42,1.57,scattered clouds
134,Nanortalik,GL,60.14,-45.24,47.46,78,3,3.36,clear sky
135,Brownwood,US,31.71,-98.99,89.6,33,1,5.82,clear sky
136,Alice Springs,AU,-23.7,133.88,48.2,42,0,6.64,clear sky
137,Cabo San Lucas,MX,22.89,-109.91,90.0,55,40,6.93,scattered clouds
138,Ketchikan,US,55.34,-131.65,57.2,100,90,9.17,moderate rain
139,Hilo,US,19.73,-155.09,78.8,74,75,3.36,broken clouds
140,Ola,RU,59.58,151.28,41.68,67,42,10.49,scattered clouds
141,Nicoya,CR,10.15,-85.45,80.6,83,75,8.05,broken clouds
142,Seydi,TM,39.48,62.91,88.27,17,37,17.4,scattered clouds
143,Krasnoarmeysk,RU,51.02,45.7,64.99,43,11,3.0,few clouds
144,Muroto,JP,33.28,134.15,82.4,76,44,5.1,scattered clouds
145,Yarkovo,RU,57.4,67.08,50.59,96,1,4.97,clear sky
146,Turukhansk,RU,65.82,87.98,54.7,87,99,7.99,light rain
147,Laguna,US,38.42,-121.42,86.0,41,75,3.36,haze
148,Sobolevo,RU,54.43,31.9,63.79,80,85,10.2,overcast clouds
